Title,sku,mrp
"Global Desi Casual Short Sleeve Printed Womens Blue, Green, Red Top
",8W8-XXL,999
"Global Desi Casual Sleeveless Striped Womens White, Yellow Top
",8W9-M,1099
"Global Desi Printed Womens Tunic
",8WC-XS,2299
"Van Heusen Womens White, Blue Dress
",8XN-XL,2495
"People Mens Solid Casual Yellow Shirt
",8XO-S,999
Quicksilver Mens Sweater,8XP-M,4500
Quicksilver Mens Sweater,8XP-S,4500
"United Colors of Benetton Girls T-Shirt 
",8XU-M,899
"United Colors of Benetton Girls T-Shirt 
",8XU-S,899
United Colors of Benetton Girls Pink Heart Print Leggings,8XY-L,599
United Colors of Benetton Girls Pink Heart Print Leggings,8XY-M,599
United Colors of Benetton Girls Pink Heart Print Leggings,8XY-S,599
United Colors of Benetton Girls Pink Heart Print Leggings,8XY-XL,599
United Colors of Benetton Girls Pink Heart Print Leggings,8XY-XS,599
"United Colors of Benetton Girls Navy & Grey Star Print Cotton Stretch Leggings
",8XZ-S,599
"United Colors of Benetton Girls Navy & Grey Star Print Cotton Stretch Leggings
",8XZ-XL,599
"United Colors of Benetton Girls Navy & Grey Star Print Cotton Stretch Leggings
",8XZ-XS,599
"United Colors of Benetton Girls Grey Camouflage Print Leggings
",8Y0-XS,599
United Colors of Benetton Girls Tank Top ,8Y2-EL,1099
United Colors of Benetton Girls Tank Top ,8Y2-M,1099
United Colors of Benetton Girls Tank Top ,8Y2-XL,1099
Vero Moda Womens Yellow Jumpsuit,8Y3-L,2495
Allen Solly Top For Girls  ( 4 Yrs ),8Y7-R,699
"Allen Solly Top For Girls  (6 Yrs)
",8Y9-R,699
"Allen Solly Top For Girls  (7 Yrs)
",8YB-R,699
"Allen Solly Top For Girls  (8 Yrs)
",8YC-R,599
"Global Desi Casual Short Sleeve Printed Womens Multicolor Top
",8YE-S,1499
"Global Desi Casual Short Sleeve Printed Womens Blue, Orange Top
",8YF-XL,1099
"Global Desi Casual Short Sleeve Printed Womens Black, Red Top
",8YG-S,1299
"Global Desi Casual Short Sleeve Printed Womens Black, Red Top
",8YG-XL,1299
"Global Desi Casual Short Sleeve Printed Womens Black, Red Top
",8YG-XS,1299
"Global Desi Casual Womens Top
",8YL-L,1699
"Global Desi Casual Womens Crop Top
",8YM-M,799
"Global Desi Casual Womens Crop Top
",8YM-S,799
"IZOD Men Neon Yellow Polo T-shirt
",8ZJ-M,1999
"IZOD Men Neon Yellow Polo T-shirt
",8ZJ-XL,1999
"IZOD Men Neon Yellow Polo T-shirt
",8ZJ-XXL,1999
"Nautica Striped Mens Polo Green T-Shirt
",8ZL-M,3599
Global Desi Printed Womens Tunic,8ZZ-L,1299
Global Desi Printed Womens Tunic,8ZZ-XL,1299
Global Desi Printed Womens Tunic,8ZZ-XS,1299
United Colors of Benetton ,906-9,3499
"Global Desi Printed Womens Tunic
",908-M,1799
"Prefect By Liberty Monk Strap
",909-7K,299
"Levis Two ply Slippers
",90E-6,599
Vero Moda loose pants,90O-M,1495
Vero Moda loose pants,90O-S,1495
Kilkari Girls Dress ( 18-24 Month),90S-R,499
Kids Apparels,90V-R,349
Women Kurti,911-S,2495
Woven Cardi,917-S,3495
"Flying Machine Regular Fit Womens Blue Trousers
",91B-S,1599
"Vero Moda Black Solid Spaghetti Top

",91C-XL,495
"VERO MODA SUNBI TUBE DRESS CLEMATIS BLUE

",91M-L,2395
"Only Printed Womens Grey Skirt
",92J-XL,1295
"Nun Half Sleeve Solid Womens Sweatshirt
",92L-M,1695
United Colors of Benetton Solid Boys Black Shorts 8-9 Years,92P-L,699
"Debenhams-Maine Womens Casual Short Sleeve Solid Womens Blue Top
",92R-S,1495
"Vero Moda Solid Womens Round Neck Blue T-Shirt
",935-S,495
"Vero Moda Solid Womens Round Neck Blue T-Shirt
",935-XS,495
"Debenhams-Julien Macdonald Womens Solid Cardigan
",937-S,2995
"ETeenz T- shirt For Girls  (13 - 14Yrs)
",93D-R,399
"United Colors of Benetton For Girls  (29B)
",93F-M,999
"United Colors of Benetton Mens Floral Print Casual Blue Shirt

",93G-M,2999
"Cherokee Printed Girls Round Neck Green T-Shirt (13 Years)
",93H-R,399
Provogue Sneakers ,93V-9,2399
United Colors Of Benetton Girls leggings,941-L,599
United Colors Of Benetton Girls leggings,941-S,599
United Colors Of Benetton Girls leggings,941-XS,599
Cardigan,949-L,2195
"United Colors of Benetton Solid Mens Henley Blue T-Shirt
",94N-L,1599
"Debenhams Womens Solid Cardigan (S10)
",953-S,3995
"Debenhams Womens Solid Cardigan (S16)
",954-S,3995
"Vero Moda Womens T-Shirt
",957-XL,1895
"Van Heusen Woman Navy Striped Midi Dress
",95R-L,1895
"Van Heusen Woman Navy Striped Midi Dress
",95R-M,1895
"Global Desi Casual Short Sleeve Printed Womens Multicolor Top
",95S-L,1650
